தன்+pron+3sg+refl+nom+add	தனும்
உவன்+pron+2sgm+dem+med+acc+sandhit	உவனைத்
உவன்+pron+2sgm+dem+med+acc+sandhik	உவனைக்
உவன்+pron+2sgm+dem+med+soc+add	உவனொடும்
உவன்+pron+2sgm+dem+med+soc+add	உவனோடும்
உவள்+pron+2sgf+dem+med+dat+add	உவளுக்கும்
உவள்+pron+2sgf+dem+med+gen+add	உவளதும்
உவள்+pron+2sgf+dem+med+abl+add	உவளினும்
உவள்+pron+2sgf+dem+med+loc+add	உவளிலும்
உவள்+pron+2sgf+dem+med+loc+foc=ஏயே	உவளிலேயே
உவள்+pron+2sgf+dem+med+abl+add	உவளிலிருந்தும்
உவள்+pron+2sgf+dem+med+loc+add	உவளிடமும்
உவள்+pron+2sgf+dem+med+inst+add	உவளாலும்
உவள்+pron+2sgf+dem+med+acc+add	உவளையும்
உவள்+pron+2sgf+dem+med+acc+sandhip	உவளைப்
உவள்+pron+2sgf+dem+med+acc+sandhic	உவளைச்
உவள்+pron+2sgf+dem+med+acc+sandhit	உவளைத்
உவள்+pron+2sgf+dem+med+acc+sandhik	உவளைக்
உவள்+pron+2sgf+dem+med+soc+add	உவளொடும்
உவள்+pron+2sgf+dem+med+soc+add	உவளோடும்
உவர்+pron+2sgh+dem+med+dat+add	உவருக்கும்
உவர்+pron+2sgh+dem+med+gen+add	உவரதும்
உவர்+pron+2sgh+dem+med+loc+add	உவரிலும்
உவர்+pron+2sgh+dem+med+loc+foc=ஏயே	உவரிலேயே
உவர்+pron+2sgh+dem+med+abl+add	உவரிலிருந்தும்
உவர்+pron+2sgh+dem+med+loc+add	உவரிடமும்
உவர்+pron+2sgh+dem+med+abl+add	உவரினும்
உவர்+pron+2sgh+dem+med+inst+add	உவராலும்
உவர்+pron+2sgh+dem+med+acc+add	உவரையும்
உவர்+pron+2sgh+dem+med+acc+sandhip	உவரைப்
உவர்+pron+2sgh+dem+med+acc+sandhic	உவரைச்
உவர்+pron+2sgh+dem+med+acc+sandhit	உவரைத்
உவர்+pron+2sgh+dem+med+acc+sandhik	உவரைக்
உவர்+pron+2sgh+dem+med+soc+add	உவரொடும்
உவர்+pron+2sgh+dem+med+soc+add	உவரோடும்
உவர்கள்+pron+2sgh+dem+med+gen+add	உவர்களதும்
உவர்கள்+pron+2sgh+dem+med+dat+add	உவர்களுக்கும்
உவர்கள்+pron+2sgh+dem+med+loc+add	உவர்களிலும்
உவர்கள்+pron+2sgh+dem+med+loc+foc=ஏயே	உவர்களிலேயே
உவர்கள்+pron+2sgh+dem+med+abl+add	உவர்களிலிருந்தும்
உவர்கள்+pron+2sgh+dem+med+loc+add	உவர்களிடமும்
உவர்கள்+pron+2sgh+dem+med+abl+add	உவர்களினும்
உவர்கள்+pron+2sgh+dem+med+soc+add	உவர்களோடும்
உவர்கள்+pron+2sgh+dem+med+inst+add	உவர்களாலும்
உவர்கள்+pron+2sgh+dem+med+acc+add	உவர்களையும்
உவர்கள்+pron+2sgh+dem+med+acc+sandhip	உவர்களைப்
உவர்கள்+pron+2sgh+dem+med+acc+sandhic	உவர்களைச்
உவர்கள்+pron+2sgh+dem+med+acc+sandhit	உவர்களைத்
உவர்கள்+pron+2sgh+dem+med+acc+sandhik	உவர்களைக்
உவர்கள்+pron+2sgh+dem+med+soc+add	உவர்களொடும்
உவர்கள்+pron+2pl+dem+med+dat+add	உவர்களுக்கும்
உவர்கள்+pron+2pl+dem+med+gen+add	உவர்களதும்
உவர்கள்+pron+2pl+dem+med+loc+add	உவர்களிலும்
உவர்கள்+pron+2pl+dem+med+loc+foc=ஏயே	உவர்களிலேயே
உவர்கள்+pron+2pl+dem+med+abl+add	உவர்களிலிருந்தும்
உவர்கள்+pron+2pl+dem+med+abl+add	உவர்களினும்
உவர்கள்+pron+2pl+dem+med+loc+add	உவர்களிடமும்
உவர்கள்+pron+2pl+dem+med+inst+add	உவர்களாலும்
உவர்கள்+pron+2pl+dem+med+acc+add	உவர்களையும்
உவர்கள்+pron+2pl+dem+med+acc+sandhip	உவர்களைப்
உவர்கள்+pron+2pl+dem+med+acc+sandhic	உவர்களைச்
உவர்கள்+pron+2pl+dem+med+acc+sandhit	உவர்களைத்
உவர்கள்+pron+2pl+dem+med+acc+sandhik	உவர்களைக்
உவர்கள்+pron+2pl+dem+med+soc+add	உவர்களொடும்
உவர்கள்+pron+2pl+dem+med+soc+add	உவர்களோடும்
உவை+pron+dem+med+2pl+abl+add	உவைகளிலிருந்தும்
உவை+pron+dem+med+2pl+loc+add	உவைகளிலும்
உவை+pron+dem+med+2pl+loc+foc=ஏயே	உவைகளிலேயே
உவை+pron+dem+med+2pl+loc+add	உவைகளிடமும்
உவை+pron+dem+med+2pl+abl+add	உவைகளினும்
உவை+pron+dem+med+2pl+gen+add	உவைகளதும்
உவை+pron+dem+med+2pl+dat+add	உவைகளுக்கும்
உவை+pron+dem+med+2pl+soc+add	உவைகளோடும்
உவை+pron+dem+med+2pl+inst+add	உவைகளாலும்
உவை+pron+dem+med+2pl+acc+add	உவைகளையும்
உவை+pron+dem+med+2pl+acc+sandhip	உவைகளைப்
உவை+pron+dem+med+2pl+acc+sandhic	உவைகளைச்
உவை+pron+dem+med+2pl+acc+sandhit	உவைகளைத்
உவை+pron+dem+med+2pl+acc+sandhik	உவைகளைக்
அது+pron+dem+dist+pl+3sgn+gen+add	அதனும்
அது+pron+dem+dist+3sgn+loc+add	அதனிடமும்
அது+pron+dem+dist+3sgn+gen+add	அதனதும்
அது+pron+dem+dist+3sgn+soc+add	அதனொடும்
அது+pron+dem+dist+3sgn+dat+add	அதுக்கும்
அது+pron+dem+dist+pl+3sgn+gen+add	அதுகளதும்
அது+pron+dem+dist+pl+3sgn+dat+add	அதுகளுக்கும்
அது+pron+dem+dist+pl+3sgn+loc+add	அதுகளிலும்
அது+pron+dem+dist+pl+3sgn+loc+foc=ஏயே	அதுகளிலேயே
அது+pron+dem+dist+pl+3sgn+abl+add	அதுகளிலிருந்தும்
அது+pron+dem+dist+pl+3sgn+loc+add	அதுகளிடமும்
அது+pron+dem+dist+pl+3sgn+abl+add	அதுகளினும்
அது+pron+dem+dist+pl+3sgn+soc+add	அதுகளோடும்
அது+pron+dem+dist+pl+3sgn+inst+add	அதுகளாலும்
அது+pron+dem+dist+pl+3sgn+acc+add	அதுகளையும்
அது+pron+dem+dist+pl+3sgn+acc+sandhip	அதுகளைப்
அது+pron+dem+dist+pl+3sgn+acc+sandhic	அதுகளைச்
அது+pron+dem+dist+pl+3sgn+acc+sandhit	அதுகளைத்
